Filename,Time,RecordTime,Pressure,Temp,BatVoltage,End
B1150529101647,10:16,3,1010.64,26.74,3.99,Time
B1150529102306,10:23,3,1009.38,21.66,3.96,Time
B1150529102932,10:29,3,1010.07,19.99,3.93,Time
B1150529103412,10:34,3,1009.97,19.74,3.91,Time
B1150529103945,10:39,3,1009.09,19.50,3.89,Time
B1150529104605,10:46,3,1009.37,19.12,3.88,Time
B1150529105005,10:50,3,1009.42,19.88,3.85,Time
B1150529105418,10:54,3,1009.21,20.49,3.84,Time
B1150529105914,10:59,3,1010.24,21.47,3.84,Time
B1150529132511,13:25,1,1011.14,27.58,4.15,Time
B1150529132702,13:27,1,1005.04,24.34,4.13,Time
B1150529132818,13:28,1,1010.17,22.84,4.10,Time
B1150529132948,13:29,1,1011.63,21.32,4.09,Time
B1150529133057,13:30,1,1010.26,21.19,4.06,Time
B1150529133211,13:32,1,1011.82,21.01,4.05,Time
B1150529133321,13:33,1,1012.04,20.91,4.04,Time
B1150529133430,13:34,1,1011.77,20.85,4.02,Time
B1150529133539,13:35,1,1012.14,21.13,4.01,Time
B1150529133652,13:36,1,1011.78,21.09,4.01,Time
B1150529133804,13:38,1,1011.12,20.83,4.00,Time
B1150529133913,13:39,1,1011.25,20.78,3.99,Time
B1150529134039,13:40,1,1010.80,20.30,3.99,Time
B1150529134207,13:42,1,1010.01,20.07,3.99,Time
B1150529134320,13:43,1,1010.66,20.24,3.98,Time
B1150529134430,13:44,1,1010.13,20.46,3.97,Time
B1150529134555,13:45,1,1010.68,20.27,3.97,Time
B1150529134712,13:47,1,1010.56,20.51,3.97,Time
B1150529134822,13:48,1,1010.29,21.20,3.96,Time
B1150529134937,13:49,1,1010.22,21.45,3.96,Time
B1150529135051,13:50,1,1010.29,21.48,3.95,Time
B1150529135200,13:52,1,1010.22,21.60,3.94,Time
B1150529135310,13:53,1,1010.42,21.54,3.94,Time
B1150529135422,13:54,1,1009.39,21.32,3.94,Time
B1150529135530,13:55,1,1009.89,21.38,3.93,Time
B1150529135640,13:56,1,1010.18,21.36,3.92,Time
B1150529135749,13:57,1,1010.32,21.70,3.92,Time
B1150529135900,13:59,1,1010.28,21.56,3.91,Time
B1150529140014,14:00,1,1009.53,21.28,3.91,Time
B1150529140133,14:01,1,1010.35,21.00,3.91,Time
B1150529140241,14:02,1,1010.25,21.07,3.90,Time
