Time (s),Accel_X (g),Accel_Y (g),Accel_Z (g),Accel_Mag (g),Gyro_X (deg/s),Gyro_Y (deg/s),Gyro_Z (deg/s),Mag_X (mT),Mag_Y (mT),Mag_Z (mT),Pressure (mbar),P_Temp (C),Battery (V)
0,-0.31651,1.0133,0.25229,1.0911,29.2,-38.3,24.5,-120.3,-359.7,-122.7,999.9,26.77,3.96
0.01,-0.31651,1.0133,0.25229,1.0911,29.2,-38.3,24.5,-120.3,-359.7,-122.7,999.9,26.77,3.96
0.02,-0.37971,1.0719,0.35729,1.1919,20.7,-39.5,29.6,-129.9,-362.1,-125.7,1000.6,26.77,3.96
0.03,-0.43884,1.0948,0.32773,1.2242,12.8,-45.3,28.4,-134.7,-364.5,-116.1,1000.4,26.77,3.96
0.04,-0.49796,1.1366,0.16769,1.2522,29.7,-54.7,26.2,-125.1,-378.9,-116.7,1000.4,26.77,3.96
0.05,-0.50204,1.1213,0.079511,1.2311,51.4,-72.8,29,-144.3,-359.7,-123.9,1000.4,26.77,3.96
0.06,-0.50255,1.1509,0.034659,1.2563,36.2,-99.5,37,-132.3,-366.9,-116.7,1000.2,26.77,3.96
0.07,-0.39857,1.2095,0.027013,1.2737,16.2,-126.2,49.6,-144.3,-366.9,-113.7,1000.3,26.77,3.96
0.08,-0.31855,1.2997,0.04842,1.339,13.8,-147.7,57.6,-163.5,-374.1,-120.3,1000.2,26.77,3.96
0.09,-0.29154,1.4241,0.088685,1.4563,-8,-147.4,65,-161.1,-369.3,-128.7,1000.1,26.77,3.96
0.1,-0.23598,1.605,0.085117,1.6245,-19.5,-140.8,69.2,-175.5,-376.5,-117.9,1000.2,26.77,3.96
0.11,-0.18451,1.8242,0.13812,1.8387,-1.8,-145.4,61.9,-170.7,-371.7,-116.1,1000.1,26.77,3.96
0.12,-0.13761,1.8919,0.20846,1.9084,4,-155.6,47.6,-175.5,-362.1,-117.3,999.9,26.77,3.96
0.13,-0.10398,1.8099,0.26504,1.8321,2.8,-168.3,32.6,-182.7,-383.7,-126.9,1000,26.77,3.96
0.14,-0.076453,1.6677,0.27931,1.6926,11.6,-165.4,20.5,-197.1,-374.1,-113.1,1000,26.77,3.96
0.15,-0.043833,1.5484,0.27931,1.574,10.9,-147.1,15.3,-187.5,-378.9,-125.1,1000,26.77,3.96
0.16,-0.034149,1.4185,0.1682,1.4288,-0.9,-125.4,15.8,-189.9,-376.5,-128.1,1000,26.77,3.96
0.17,-0.061162,1.2727,0.057594,1.2755,0.6,-106.3,18.4,-204.3,-381.3,-117.9,999.9,26.77,3.96
0.18,0.052497,1.2029,0.1371,1.2118,-34.8,-102.7,21,-211.5,-376.5,-118.5,999.9,26.77,3.96
0.19,0.11009,1.1611,0.2156,1.186,-97.6,-98.5,22.1,-209.1,-378.9,-123.9,999.8,26.77,3.96
0.2,0.15851,1.1519,0.21407,1.1823,-121,-74.6,19.6,-218.7,-371.7,-129.3,999.8,26.77,3.96
0.21,0.19062,1.0744,0.14067,1.1002,-105.1,-57.1,7.2,-206.7,-362.1,-132.9,999.9,26.77,3.96
0.22,0.15953,0.91081,0.057085,0.92643,-77.1,-58.8,-8.3,-228.3,-362.1,-132.9,999.9,26.77,3.96
0.23,0.12895,0.70948,0.11111,0.72961,-18.3,-74.6,-22.7,-223.5,-354.9,-125.1,999.8,26.77,3.96
0.24,0.158,0.54332,0.23089,0.61112,27.5,-88.2,-30.4,-223.5,-366.9,-135.3,999.9,26.77,3.96
0.25,0.20133,0.51784,0.35525,0.65946,27.4,-85,-26.9,-235.5,-357.3,-125.1,999.7,26.77,3.96
0.26,0.21662,0.52956,0.63405,0.85403,-10.3,-66.7,-20.9,-230.7,-374.1,-125.1,999.7,26.77,3.96
0.27,0.25841,0.62436,0.74822,1.0082,-39.3,-28.3,-12.2,-237.9,-378.9,-128.7,999.8,26.77,3.96
0.28,0.27829,0.63507,0.67686,0.96896,-40.8,31.4,-8.3,-230.7,-371.7,-131.1,999.7,26.77,3.96
0.29,0.15647,0.44801,0.49185,0.68345,-17.8,77.2,-13.2,-211.5,-364.5,-124.5,999.7,26.77,3.96
0.3,0.092253,0.39297,0.33945,0.52741,7.6,98.8,-6,-199.5,-362.1,-123.3,999.8,26.77,3.96
0.31,0.027523,0.45515,0.20693,0.50074,19.6,95.4,2.3,-213.9,-364.5,-125.7,999.6,26.77,3.96
0.32,-0.037207,0.47503,-0.014781,0.47671,-3.1,84.5,12.8,-225.9,-357.3,-126.3,999.8,26.77,3.96
0.33,-0.046891,0.65851,-0.014271,0.66033,-53.4,48.5,18.9,-211.5,-362.1,-127.5,999.6,26.77,3.96
0.34,0.010194,0.77064,0.074924,0.77434,-61,9.2,7.8,-206.7,-362.1,-125.1,999.7,26.77,3.96
0.35,0.033639,0.80122,0.19572,0.82547,-56.2,2.8,-2.6,-213.9,-354.9,-120.9,999.7,26.77,3.96
0.36,-0.0158,0.76351,0.27778,0.81262,-48.4,13.5,-10.1,-218.7,-335.7,-133.5,999.7,26.77,3.96
0.37,-0.084608,0.71814,0.27472,0.77354,-47.4,23.1,-10.2,-218.7,-354.9,-132.9,999.6,26.77,3.96
0.38,-0.19266,0.69164,0.19725,0.74458,-40,30.2,-5.9,-228.3,-352.5,-126.3,999.6,26.77,3.96
