time,pres,P1,P2,P3,accmag,magx,magy,magz,absaccx,absaccy,absaccz
0.0,1000.0360310872396,1000.1043090820312,999.9506225585938,1000.0531616210938,-0.19721666099343516,38.375,-16.5,19.5625,0.5894892667904608,0.4844453258362442,-0.22754631353240207
0.01,999.9960327148438,1000.0543212890625,999.920654296875,1000.0131225585938,-0.19721666099343516,38.375,-16.5,19.5625,0.5894892667904608,0.4844453258362442,-0.22754631353240207
0.02,1000.0060221354166,1000.0543212890625,999.9506225585938,1000.0131225585938,-0.049149676105702866,36.75,-18.25,22.5,0.5004227379001962,0.6389803024972585,-0.08295110005709994
0.03,999.9726969401041,1000.0343017578125,999.920654296875,999.963134765625,0.1682464101963319,36.75,-18.25,22.5,0.4445875610497394,0.6368524027947511,0.1379727754055704
0.04,999.9860229492188,1000.0343017578125,999.920654296875,1000.0031127929688,0.42502822563899123,36.75,-18.25,22.5,0.3504207906768735,0.681501100257278,0.3963002258132864
0.051,1000.022705078125,1000.0643310546875,999.9706420898438,1000.0331420898438,0.7322430947481706,36.75,-18.25,22.5,0.26912356906953416,0.863884985100317,0.6933406450450335
0.061,999.9827067057291,1000.0343017578125,999.920654296875,999.9931640625,0.8748536556903037,36.5625,-18.0,24.25,0.2734420157514994,0.9432243383107024,0.8296266360788511
0.071,999.9726969401041,1000.0543212890625,999.890625,999.97314453125,1.0136823223935298,36.5625,-18.0,24.25,0.23638988125602545,1.0434435535744386,0.9606752058837014
0.081,999.9860229492188,1000.0043334960938,999.9506225585938,1000.0031127929688,1.1747258495575057,36.5625,-18.0,24.25,0.2647597596289608,1.1839754135134308,1.1075229095163248
0.091,1000.002685546875,1000.0742797851562,999.9606323242188,999.97314453125,1.178239042599328,36.5625,-18.0,24.25,0.269523754910443,1.393281429149987,1.0862159056265472
0.102,1000.0027058919271,1000.0543212890625,999.9606323242188,999.9931640625,1.097268477814369,36.5625,-18.0,24.25,0.2577302809139215,1.4664495438253504,0.9951657314840574
0.112,999.9793701171875,1000.0543212890625,999.91064453125,999.97314453125,0.9912495438747104,34.6875,-18.25,26.5625,0.2959109338352901,1.544386139835301,0.8761733038246664
0.122,999.9760538736979,999.9943237304688,999.940673828125,999.9931640625,0.7398294506298981,34.6875,-18.25,26.5625,0.24918926203435854,1.5861296791271884,0.6169362130041147
0.132,999.9660237630209,1000.0142822265625,999.91064453125,999.97314453125,0.659933074141339,34.6875,-18.25,26.5625,0.28465401196935813,1.4640173694317729,0.5531618636625826
0.142,1000.0060221354166,1000.0842895507812,999.9306640625,1000.0031127929688,0.4813461941917385,34.6875,-18.25,26.5625,0.3184076290888269,1.4201434844115783,0.3779151721108338
0.153,999.9726969401041,1000.0343017578125,999.91064453125,999.97314453125,0.2315581323707292,34.6875,-18.25,26.5625,0.37624267876486206,1.3957261996061838,0.12696530879470735
0.163,999.9693603515625,999.9943237304688,999.91064453125,1000.0031127929688,-0.34447873784637295,35.0625,-18.0,28.0,0.48008999394841423,1.1757629174014976,-0.4300646098143872
0.173,999.9827067057291,1000.0242919921875,999.940673828125,999.983154296875,-0.5745846309936695,35.0625,-18.0,28.0,0.4648379633590096,1.0959123048363515,-0.6516268406443029
0.184,999.9793701171875,1000.0543212890625,999.920654296875,999.963134765625,-0.714501138152988,35.0625,-18.0,28.0,0.464514289864828,1.0430538002382175,-0.7864549765527133
0.194,999.9660237630209,1000.0242919921875,999.91064453125,999.963134765625,-0.9113260670068453,35.0625,-18.0,28.0,0.4477253449131191,0.7894352659398849,-0.957727312031972
0.204,999.9827067057291,1000.0543212890625,999.900634765625,999.9931640625,-0.8695469479233733,35.0625,-18.0,28.0,0.3757676406624877,0.5500374081989823,-0.8943980401658251
0.214,1000.0160319010416,1000.0443115234375,999.9706420898438,1000.0331420898438,-0.842759354167411,33.5625,-17.5625,26.875,0.3236874714806448,0.5409987341027422,-0.8649482063669556
0.225,999.9726969401041,1000.0842895507812,999.91064453125,999.9231567382812,-0.7974252303390408,33.5625,-17.5625,26.875,0.3171014829789196,0.5947889714547596,-0.8226657618814652
0.235,999.9726969401041,1000.0142822265625,999.91064453125,999.9931640625,-0.6385334352547325,33.5625,-17.5625,26.875,0.09945392846191847,0.4168064089658361,-0.6485492261433361
0.246,999.9627075195312,1000.0343017578125,999.8706665039062,999.983154296875,-0.5244520057132274,33.5625,-17.5625,26.875,0.04714758533858765,0.3621728832228617,-0.5316375657092429
0.256,999.9860432942709,1000.0643310546875,999.91064453125,999.983154296875,-0.4034011918978351,33.5625,-17.5625,26.875,0.0027871693424050825,0.25925790125074366,-0.40697502348764303
0.266,999.9827067057291,1000.0343017578125,999.9306640625,999.983154296875,-0.4228278284259268,35.375,-18.0,26.0625,0.03337982392384253,0.3780159006338435,-0.43050155152219816
0.277,999.9793701171875,1000.0443115234375,999.900634765625,999.9931640625,-0.4178488998090355,35.375,-18.0,26.0625,0.14059728331999688,0.4353937042431304,-0.428999679402688
0.287,999.9726969401041,1000.0242919921875,999.9306640625,999.963134765625,-0.4145062773149313,35.375,-18.0,26.0625,0.2630371995407277,0.4264927712010804,-0.42787776455744897
0.297,999.9726969401041,1000.0242919921875,999.91064453125,999.983154296875,-0.3173659849647823,35.375,-18.0,26.0625,0.3078766951535199,0.4909397640320603,-0.33507041545547445
0.307,999.9893391927084,1000.0742797851562,999.890625,1000.0031127929688,-0.22089687773849143,35.375,-18.0,26.0625,0.35104066204235096,0.5702062156672612,-0.2443043109989791
0.318,999.9893595377604,1000.0043334960938,999.9606323242188,1000.0031127929688,-0.15028482077103966,35.75,-17.1875,24.1875,0.42108992325404193,0.6521873561195823,-0.18153011777686423
0.328,999.9960327148438,1000.0443115234375,999.9306640625,1000.0131225585938,-0.04161198804812116,35.75,-17.1875,24.1875,0.5088812071943818,0.7117141091339279,-0.0808732511150172
0.339,999.9726969401041,1000.0443115234375,999.890625,999.983154296875,0.13330962363905918,35.75,-17.1875,24.1875,0.4112043587998002,0.6633333186357842,0.10263366392831053
0.349,999.9827067057291,1000.0142822265625,999.940673828125,999.9931640625,0.3219738748952423,35.75,-17.1875,24.1875,0.02562426211182922,0.7905998600175601,0.2910489485048604
