Time (s),Accel_X (g),Accel_Y (g),Accel_Z (g),Accel_Mag (g),Gyro_X (deg/s),Gyro_Y (deg/s),Gyro_Z (deg/s),Mag_X (mT),Mag_Y (mT),Mag_Z (mT),Pressure (mbar),P_Temp (C),Battery (V),time
0.0,-8.775,-3.98,5.7,1.385,-86.0,-54.2,-120.5,-9.9,-50.1,-71.7,1000.0,19.99,3.93,0.0
0.01,-8.775,-3.98,5.7,1.385,-86.0,-54.2,-120.5,-9.9,-50.1,-71.7,1000.0,19.99,3.93,0.01
0.02,-7.05,-4.71,6.105,0.638,101.5,48.9,-2.3,-33.9,12.3,-80.1,999.8,20.01,3.9,0.02
0.03,-8.04,-2.06,4.765,-0.24,40.3,29.8,-6.3,-38.7,0.3,-71.1,1000.5,20.01,3.9,0.03
0.04,-7.985,-0.845,3.8,-0.927,-8.1,6.5,-4.2,-33.9,2.7,-74.1,1000.3,20.01,3.9,0.04
0.05,-7.535,-2.76,4.625,-0.548,-25.5,1.2,2.0,-36.3,2.7,-71.1,1000.3,20.01,3.9,0.05
0.06,-7.375,-5.01,4.845,0.337,-22.3,-34.6,-18.9,-31.5,2.7,-70.5,1000.3,20.01,3.9,0.06
0.07,-8.145,-3.97,2.6,-0.383,-43.4,-50.1,-31.7,-50.7,14.7,-69.9,1000.1,20.01,3.9,0.07
0.08,-9.21,-5.68,1.7,1.143,-40.6,-43.5,-33.4,-36.3,26.7,-72.9,999.9,20.01,3.9,0.08
0.09,-9.21,-5.68,1.7,1.143,-40.6,-43.5,-33.4,-36.3,26.7,-72.9,999.8,20.01,3.9,0.09
0.1,-10.19,-6.85,1.13,2.52,-27.6,-28.9,-30.8,-21.9,7.5,-69.9,999.8,20.01,3.9,0.1
0.11,-10.11,-6.59,1.035,2.302,-26.3,-7.3,-23.9,-41.1,19.5,-66.3,999.7,20.01,3.9,0.11
0.12,-9.755,-5.265,2.41,1.534,-44.9,16.6,-35.2,-36.3,19.5,-75.3,999.8,20.01,3.9,0.12
0.13,-8.31,-4.33,3.455,0.177,-30.1,33.0,-56.5,-41.1,17.1,-73.5,999.9,20.01,3.9,0.13
0.14,-6.85,-4.525,4.41,-0.491,15.3,47.5,-69.3,-33.9,5.1,-77.1,999.9,20.01,3.9,0.14
0.15,-6.645,-4.38,4.975,-0.424,-35.6,54.0,-71.2,-41.1,19.5,-65.7,999.8,20.01,3.9,0.15
0.16,-7.56,-3.32,3.96,-0.653,-157.6,40.4,-63.5,-50.7,21.9,-69.9,999.7,20.01,3.9,0.16
0.17,-7.69,-2.73,3.355,-0.987,-166.0,13.6,-38.5,-45.9,29.1,-61.5,999.7,20.01,3.9,0.17
0.18,-7.795,-2.625,3.62,-0.824,-136.5,-4.6,-16.4,-53.1,29.1,-66.3,999.8,20.01,3.9,0.18
0.19,-6.995,-2.605,3.285,-1.655,-220.6,-21.4,-31.0,-50.7,9.9,-68.1,999.7,20.01,3.9,0.19
0.2,-7.55,-3.47,3.185,-0.911,-329.0,-39.6,-72.3,-48.3,2.7,-62.7,999.6,20.01,3.9,0.2
0.21,-8.15,-5.43,1.52,0.1,-368.2,-36.6,-102.4,-48.3,9.9,-59.1,999.7,20.01,3.9,0.21
0.22,-7.055,-8.31,-0.33,1.096,-303.9,-25.2,-80.8,-48.3,7.5,-56.1,999.8,20.01,3.9,0.22
0.23,-5.73,-8.52,-1.845,0.622,-260.4,-26.8,-44.8,-57.9,17.1,-51.9,999.7,20.01,3.9,0.23
0.24,-6.54,-7.69,-0.995,0.334,-247.9,-36.1,-36.2,-53.1,-9.3,-55.5,999.5,20.01,3.9,0.24
0.25,-8.705,-5.705,1.79,0.751,-264.3,-30.7,-58.1,-65.1,5.1,-59.7,999.5,20.01,3.9,0.25
0.26,-8.9,-3.73,2.035,0.052,-205.6,-7.6,-74.8,-60.3,-6.9,-59.1,999.6,20.01,3.9,0.26
0.27,-6.76,-4.765,0.985,-1.481,-100.3,-6.4,-71.8,-57.9,-2.1,-55.5,999.6,20.01,3.9,0.27
0.28,-6.935,-6.16,0.595,-0.515,-37.9,-31.5,-49.8,-60.3,-6.9,-53.1,999.6,20.01,3.9,0.28
0.29,-7.025,-7.14,1.755,0.359,31.1,-52.5,-13.2,-57.9,2.7,-48.3,999.7,20.01,3.9,0.29
0.3,-7.235,-7.63,1.595,0.825,17.7,-48.9,20.2,-69.9,0.3,-50.7,999.5,20.01,3.9,0.3
0.31,-8.54,-7.02,0.285,1.249,-2.5,-41.5,58.1,-50.7,0.3,-47.7,999.3,20.01,3.9,0.31
0.32,-9.01,-6.56,0.16,1.336,-58.5,-60.1,78.6,-60.3,-14.1,-57.9,999.6,20.01,3.9,0.32
0.33,-7.065,-5.88,0.455,-0.607,-197.3,-85.5,58.4,-50.7,-14.1,-53.1,999.4,20.01,3.9,0.33
0.34,-8.135,-6.03,1.865,0.486,-263.9,-99.5,29.9,-43.5,-28.5,-51.9,999.6,20.01,3.9,0.34
0.35,-6.115,-5.905,1.58,-1.164,-290.9,-99.9,8.6,-41.1,-38.1,-49.5,999.7,20.01,3.9,0.35
0.36,-3.84,-6.135,1.055,-2.496,-335.1,-80.7,12.0,-53.1,-40.5,-58.5,999.8,20.01,3.9,0.36
0.37,-4.47,-5.5,0.835,-2.674,-418.4,-65.1,54.2,-43.5,-33.3,-50.7,999.6,20.01,3.9,0.37
0.38,-6.635,-5.81,0.67,-0.965,-431.2,-92.8,88.2,-36.3,-74.1,-49.5,999.4,20.01,3.9,0.38
0.39,-6.79,-5.35,0.63,-1.143,-319.8,-149.7,72.7,-29.1,-76.5,-48.9,999.5,20.01,3.9,0.39
0.4,-6.96,-5.68,-0.455,-0.815,-262.8,-156.6,66.2,-41.1,-93.3,-43.5,999.5,20.01,3.9,0.4
0.41,-8.16,-4.33,-3.59,0.101,-186.8,-91.7,73.4,-21.9,-88.5,-49.5,999.5,20.01,3.9,0.41
0.42,-6.895,-4.555,-3.305,-0.91,-79.3,7.9,81.4,-12.3,-107.7,-51.3,999.4,20.01,3.9,0.42
0.43,-6.625,-6.07,-0.7,-0.797,-109.0,70.4,76.2,-29.1,-105.3,-45.9,999.4,20.01,3.9,0.43
0.44,-8.515,-4.925,-1.285,0.11,-196.0,77.5,65.8,-31.5,-114.9,-47.7,999.2,20.01,3.9,0.44
0.45,-9.585,-2.55,-3.7,0.776,-136.7,63.5,60.1,-12.3,-124.5,-44.1,999.3,20.01,3.9,0.45
0.46,-7.95,-3.255,-1.665,-1.06,36.4,36.4,52.8,-19.5,-131.7,-47.1,999.5,20.01,3.9,0.46
0.47,-7.89,-5.57,-2.225,0.101,86.7,7.3,45.3,-36.3,-117.3,-39.3,999.2,20.01,3.9,0.47
0.48,-9.51,-4.745,-5.685,2.243,29.8,-10.9,40.2,-19.5,-124.5,-45.9,999.3,20.01,3.9,0.48
0.49,-9.105,-5.255,-6.26,2.425,3.8,0.7,17.6,-19.5,-131.7,-47.7,999.4,20.01,3.9,0.49
